Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,770,810,1100,1350,1130,1640,1940,2360,4390,6000,8670,12260,10450,8510,7810,7990,7390,7380,7440
Angola,12370,12910,13620,18010,19290,18210,20340,23490,25080,27150,28530,29460,30250,32820,34630,35160,35410,30840,27340
Albania,3170,3220,3750,4110,4290,4070,4050,4220,4170,4320,4580,5040,4580,4790,5220,5070,4930,5600,5560
Andorra,520,520,530,530,560,580,550,540,540,520,520,490,490,480,460,470,470,470,460
United Arab Emirates,84540,96260,98120,103530,109980,116280,121460,131690,156200,157180,162820,166320,175730,184100,183840,194040,199460,208250,200300
Argentina,131910,124870,117470,128360,141850,146320,155370,163630,168150,157440,168140,177260,178530,184000,179910,186090,184280,180120,177410
Armenia,3560,3600,3120,3500,3760,4460,4490,5200,5690,4510,4340,4940,5720,5500,5480,5340,5070,5320,5550
Antigua and Barbuda,330,350,390,410,400,410,440,460,480,1390,490,510,720,470,480,490,500,500,530
Australia,338810,344960,352890,351990,365270,369510,375060,385370,388500,394950,387350,385770,385770,379270,369880,375970,383960,387200,386620
Austria,63530,67910,69370,74460,75800,76240,74100,71240,70730,64420,69960,68270,65110,65750,61990,63150,63390,65830,63180
Azerbaijan,40010,38720,38130,34340,34090,36650,34170,27510,29580,25140,24150,28560,30760,31390,32630,32170,32660,31970,32020
Burundi,260,210,220,170,160,160,190,190,200,200,320,370,390,410,390,410,460,570,590
Belgium,117280,118340,110850,115500,114020,110610,108650,104590,106930,99670,106470,95570,94960,96610,90160,95200,94320,92770,93470
Benin,1530,1840,2120,2380,2530,2780,3830,4390,4350,4700,5080,4980,4740,5020,5510,5990,7230,7360,7910
Burkina Faso,1050,1020,1020,1100,1130,1150,1400,1680,1910,1930,2090,2200,2710,2970,3020,3400,3500,4070,4270
Bangladesh,21650,25780,27430,28630,30530,32710,35900,37990,41580,44750,50580,54420,57990,60580,63800,71690,73740,78710,82760
Bulgaria,43330,46180,43630,47890,47180,47880,48970,52620,50030,42970,44850,49670,45120,39820,42230,44690,41740,44040,41130
Bahrain,15880,16390,17220,17960,17930,20700,22500,23010,24770,24730,25980,26030,26570,28760,30220,30600,30200,30380,30750
"Bahamas, The",2140,2130,2280,2250,2160,2020,2020,2070,2110,6020,2080,2420,3640,3110,2620,2370,2190,2150,2260
Bosnia and Herzegovina,13950,13760,14560,14860,15570,16230,17910,18890,20760,20590,20840,23740,21960,21850,19490,19610,22340,22650,22540
Belarus,52990,51740,51770,52550,55770,56480,58810,57350,60270,57200,61470,58350,59790,59930,59470,54890,55210,56240,59310
Belize,450,530,520,510,440,470,510,530,500,1460,560,640,690,500,490,660,650,650,680
Bolivia,8000,7890,8230,9110,9420,10070,11160,12040,13020,13870,15040,16450,17250,18560,20170,20410,21610,22250,22710
Brazil,312670,319560,317280,309350,326760,330510,333980,351520,372160,350830,397730,417120,451760,482860,506780,479970,441910,449840,427710
Barbados,1240,1320,1370,1380,1360,1420,1470,1480,1780,4620,1590,1670,2210,1480,1290,1290,1310,1200,1250
Brunei Darussalam,4430,4310,4360,5250,4920,4820,7220,6840,7220,7430,6860,7010,7130,7020,6970,5980,6410,6710,7140
Bhutan,370,360,400,360,310,410,400,390,400,370,470,670,760,850,940,960,1230,1330,1380
Botswana,4030,3870,4030,3920,3970,4280,4090,4320,4390,4090,3370,4000,5130,5560,7130,7210,7120,7870,8210
Central African Republic,240,250,250,240,240,240,260,260,260,260,270,290,300,300,300,310,310,310,330
Canada,515000,506940,525470,545360,537250,549970,541070,571310,550200,520800,535030,547720,547140,556350,561830,558800,550480,562260,574400
Switzerland,43710,45160,43570,44840,45280,45850,45480,43540,44960,43670,45210,41190,42470,43480,39730,39030,39610,38620,37480
Chile,49820,47870,48690,49910,54730,55720,57050,64740,68250,65370,69720,76470,78490,82940,76390,81970,86160,87040,86620
China,3344090,3526750,3808330,4413300,5121830,5819120,6431910,6988210,7195010,7715110,8470570,9278250,9533210,9936680,9894940,9830430,9814310,10017770,10313460
Cote d'Ivoire,6330,6260,6380,5150,5420,5810,5630,5550,6360,5930,6220,5990,7890,8460,8960,9560,9320,10380,9910
Cameroon,6700,6330,6220,6100,6540,6610,6950,8120,8210,8790,8990,7970,7060,7370,7750,8010,8550,8320,8620
"Congo, Dem. Rep.",920,790,880,1070,1170,1490,1600,1750,1870,1920,2060,2520,2430,3650,4790,2890,2060,2280,2200
"Congo, Rep.",2860,2990,2800,2940,2860,4820,4950,5130,5410,5440,4980,4860,4750,4000,4080,3440,3350,3220,3220
Colombia,58220,58560,56430,56020,56220,57910,57720,59190,60000,62960,64680,69910,70290,77790,79820,81030,83760,76060,79490
Comoros,100,110,110,140,150,140,150,120,120,130,160,150,150,180,160,180,200,250,260
Cabo Verde,220,250,280,310,340,440,500,460,480,510,540,570,530,510,500,500,550,590,620
Costa Rica,4950,5420,5520,5800,5940,6270,6560,7600,7520,7200,7110,7430,7450,7780,7830,7540,8080,8180,8260
Cuba,28200,27190,25960,25230,24970,25860,26300,27200,26310,27100,30260,28540,28850,27350,26880,27490,28450,25650,24970
Cyprus,7070,6930,7110,7770,7710,7870,7940,8240,8400,8180,7820,7550,7020,6380,6750,6780,7150,7300,7230
Czech Republic,123170,122720,118530,122770,123440,120000,120600,123630,118310,111170,113930,110980,107170,102720,99750,100980,102860,103420,102480
