Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa Eastern and Southern,0.90039915,0.971980787,0.975749135,1.009962896,1.057181535,1.032998428,1.023645551,1.045967785,1.086448849,1.021953566,1.048875556,1.00533811,1.021646329,1.031833091,1.041144792,0.987393167,0.971016455,0.959978017,0.933541201
Afghanistan,0.037054937,0.037487865,0.0486709,0.057008038,0.045699608,0.06392697,0.073392946,0.087083129,0.158356378,0.211306251,0.297065212,0.407073503,0.335351023,0.263715761,0.234036914,0.232175631,0.208857196,0.203327569,0.200151071
Africa Western and Central,0.44724362,0.474139685,0.474875186,0.474592265,0.474318246,0.509458302,0.48795251,0.475147838,0.475024545,0.426769596,0.472819125,0.497022584,0.490866787,0.504655299,0.507671121,0.480743071,0.472959364,0.476437769,0.515544239
Angola,0.754476372,0.761842805,0.777423086,0.993848349,1.028353667,0.937036692,1.00943404,1.123635278,1.155992846,1.205901589,1.221514741,1.216316979,1.204798883,1.261541742,1.285364553,1.260920989,1.227702942,1.0343173,0.887380364
Albania,1.026213109,1.052228093,1.229101183,1.352144481,1.417273358,1.351491805,1.353362203,1.420867288,1.414847553,1.47565225,1.572250938,1.734823308,1.579091995,1.654524278,1.806788541,1.759987059,1.714126173,1.948872038,1.939731563
Andorra,7.952286282,7.721549062,7.566240292,7.242415961,7.344262295,7.353780223,6.790542626,6.531046661,6.439303601,6.156687702,6.157198001,5.850885991,5.944654058,5.942800545,5.807127618,6.026181837,6.080600298,6.104133927,5.97340536
Arab World,3.163304937,3.28250948,3.347226798,3.361727771,3.474239846,3.704297926,3.801646161,3.883139874,4.093538195,4.193271548,4.322001927,4.308740507,4.512189409,4.495194439,4.600190659,4.617963545,4.57030837,4.528350612,4.438715965
United Arab Emirates,26.97453501,29.14565622,28.20537955,27.89114345,27.03156411,25.34315035,22.91623744,21.34759078,22.03262691,19.85255706,19.04327931,18.5899326,19.22311613,20.0154209,19.95185248,20.94809226,21.30760952,21.95061433,20.7974984
Argentina,3.577628213,3.349908589,3.117424796,3.370102174,3.685184209,3.762123928,3.954453814,4.123292779,4.195342638,3.889060402,4.122245087,4.296015486,4.277881789,4.359886344,4.216360632,4.314433522,4.227539442,4.089471516,3.987234198
Armenia,1.159761363,1.180062452,1.028353553,1.159732241,1.253034693,1.49601075,1.517763067,1.773161496,1.956930336,1.561583522,1.508351191,1.71734336,1.9831921,1.89812717,1.881607731,1.825292192,1.726752782,1.806581049,1.880246268
