Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,20617.75,20670.37,20436.89,20833.98,22568.37,23300.74,24046.23,25834.11,27083.63,24631.18,23513.53,24985.01,24712.49,26441.62,26893.01,28396.91,28452.17,29350.81,30253.28
Africa Eastern and Southern,713.25,633.61,631.87,819.74,993.76,1129.81,1237.11,1382.87,1442.17,1412.11,1634.45,1770.74,1736.17,1713.90,1703.60,1549.04,1431.78,1573.06,1574.98
Africa Western and Central,525.45,539.34,627.77,706.96,854.51,1016.48,1252.60,1430.80,1707.27,1486.57,1687.55,1862.31,1965.12,2157.48,2212.85,1894.31,1673.84,1613.47,1704.14
Angola,556.84,527.33,872.49,982.96,1255.56,1902.42,2599.57,3122.00,4080.94,3122.78,3587.88,4615.47,5100.10,5254.88,5408.41,4166.98,3506.07,4095.81,3289.64
Albania,1126.68,1281.66,1425.12,1846.12,2373.58,2673.79,2972.74,3595.04,4370.54,4114.13,4094.35,4437.14,4247.63,4413.06,4578.63,3952.80,4124.06,4531.02,5287.66
Andorra,21854.25,22970.51,25067.24,32272.85,37966.19,40064.22,42674.76,47804.85,48719.66,43504.22,40850.25,43334.81,38686.46,39540.72,41303.93,35770.78,37475.64,38964.90,41791.97
Arab World,2890.23,2768.50,2725.61,2948.63,3430.98,4120.84,4754.77,5418.13,6661.48,5695.89,6512.54,6888.98,7378.23,7373.20,7300.03,6220.72,5969.62,5987.34,6504.15
United Arab Emirates,33291.37,31280.76,31567.55,33499.10,36333.19,39365.46,41907.42,41809.46,44498.94,32024.20,33893.26,39194.67,40976.49,42412.64,43751.81,38663.40,38141.87,40644.79,43839.32
Argentina,7708.10,7208.37,2593.40,3349.81,4277.72,5109.85,5919.01,7245.45,9020.87,8225.14,10385.96,12848.86,13082.66,13080.25,12334.80,13789.06,12790.24,14613.04,11795.16
Armenia,622.74,694.42,783.24,930.13,1191.92,1643.76,2158.15,3139.28,4010.86,2994.34,3218.38,3525.81,3681.84,3838.17,3986.23,3607.29,3591.83,3914.53,4220.54
Antigua and Barbuda,10872.29,10367.32,10401.05,10797.95,11446.97,12557.55,13995.80,15622.69,16044.11,14160.56,13048.96,12746.63,13272.73,12910.59,13501.58,14285.33,15198.74,15383.58,16679.59
Australia,21697.71,19527.32,20117.79,23492.41,30513.94,34081.00,36117.49,41001.14,49654.91,42783.32,52087.97,62574.15,68027.84,68156.63,62511.69,56707.02,49881.76,53934.25,57180.78
Austria,24625.60,24558.76,26527.59,32294.05,36889.23,38417.46,40669.33,46915.34,51919.98,48153.32,46903.76,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47429.16,51486.58
Azerbaijan,655.12,703.68,763.08,883.73,1045.01,1578.40,2473.08,3851.44,5574.60,4950.29,5843.53,7189.69,7496.29,7875.76,7891.31,5500.31,3880.74,4147.09,4739.84
Burundi,136.46,134.36,123.12,113.57,128.34,151.68,167.38,172.50,198.35,212.14,234.24,249.58,252.36,256.98,274.86,305.55,260.57,253.83,238.78
Belgium,23098.89,23015.07,25006.19,30655.21,35429.41,36809.70,38705.11,44319.17,48303.40,44760.29,44184.95,47410.57,44670.56,46757.95,47764.07,41008.30,42012.62,44198.48,47542.77
Benin,512.67,518.07,574.93,711.28,798.74,822.79,856.05,966.20,1125.43,1088.76,1036.53,1130.27,1145.14,1251.21,1291.41,1076.80,1087.29,1136.59,1241.83
Burkina Faso,255.72,267.10,294.67,374.63,418.38,457.93,473.45,535.06,643.40,624.18,647.84,751.17,758.00,787.47,792.85,653.33,688.25,735.00,804.50
Bangladesh,418.07,415.03,413.08,446.31,475.29,499.46,509.64,558.05,634.99,702.26,781.15,861.76,883.12,981.86,1118.87,1248.45,1401.56,1563.77,1698.13
Bulgaria,1621.24,1770.91,2092.96,2719.50,3389.71,3899.91,4523.05,5885.10,7265.74,6988.23,6853.00,7849.17,7432.48,7681.93,7901.79,7074.68,7569.48,8366.29,9446.70
Bahrain,13636.42,12868.18,13049.91,14222.04,15846.51,17959.40,19307.51,20976.44,23066.45,19355.92,20722.07,22514.20,23654.37,24744.30,24989.44,22634.09,22608.45,23742.94,24085.96
"Bahamas, The",27098.16,27486.24,28867.08,28327.81,28396.01,30279.39,30713.80,31472.29,30627.33,28552.52,28443.89,28005.91,29485.86,28583.02,30065.16,31776.06,31732.92,32376.51,33290.03
Bosnia and Herzegovina,1484.18,1544.60,1789.86,2258.95,2698.47,2980.60,3416.51,4193.37,5090.95,4714.69,4635.51,5092.55,4777.07,5129.66,5330.36,4729.69,4994.97,5394.27,6070.35
Belarus,1276.29,1244.37,1479.31,1819.77,2378.62,3125.81,3847.43,4735.66,6377.37,5352.58,6033.69,6527.17,6953.13,7998.13,8341.40,5967.05,5039.68,5785.67,6360.06
Belize,3364.49,3404.42,3526.08,3650.61,3802.26,3885.03,4155.32,4252.40,4404.31,4186.52,4270.78,4423.50,4505.60,4568.64,4718.44,4770.23,4856.97,4945.86,5001.42
Bermuda,56284.17,58883.96,62583.10,66111.73,70359.32,75882.03,95221.86,104287.39,106935.49,101407.76,101875.28,97774.16,98431.87,99471.64,98467.68,102005.63,106885.88,111820.58,113023.19
Bolivia,997.58,948.87,904.23,907.54,967.41,1034.31,1218.87,1372.63,1715.21,1754.21,1955.46,2346.34,2609.88,2908.20,3081.88,3035.97,3076.66,3351.12,3548.59
Brazil,3749.91,3160.25,2839.49,3070.44,3637.31,4790.46,5886.39,7348.19,8831.18,8597.79,11286.07,13245.39,12370.22,12300.39,12112.83,8813.99,8710.06,9928.68,9151.38
Barbados,11268.42,11209.42,11361.52,11699.37,12512.58,13822.74,15199.57,16770.66,17092.58,15885.41,16056.37,16458.35,16249.67,16451.28,16489.07,16524.90,16900.05,17391.67,17745.26
